"時点","地域コード","地域","消費者物価指数（総合）2020年基準","注記"
"2017年9月","00000","全国","98.8",""
"2017年10月","00000","全国","98.8",""
"2017年11月","00000","全国","99.1",""
"2017年12月","00000","全国","99.4",""
"2018年1月","00000","全国","99.5",""
"2018年2月","00000","全国","99.5",""
"2018年3月","00000","全国","99.2",""
"2018年4月","00000","全国","99.1",""
"2018年5月","00000","全国","99.3",""
"2018年6月","00000","全国","99.2",""
"2018年7月","00000","全国","99.2",""
"2018年8月","00000","全国","99.8",""
"2018年9月","00000","全国","99.9",""
"2018年10月","00000","全国","100.2",""
"2018年11月","00000","全国","100.0",""
"2018年12月","00000","全国","99.7",""
"2019年1月","00000","全国","99.7",""
"2019年2月","00000","全国","99.7",""
"2019年3月","00000","全国","99.7",""
"2019年4月","00000","全国","100.0",""
"2019年5月","00000","全国","100.0",""
"2019年6月","00000","全国","99.8",""
"2019年7月","00000","全国","99.8",""
"2019年8月","00000","全国","100.0",""
"2019年9月","00000","全国","100.1",""
"2019年10月","00000","全国","100.4",""
"2019年11月","00000","全国","100.5",""
"2019年12月","00000","全国","100.5",""
"2020年1月","00000","全国","100.5",""
"2020年2月","00000","全国","100.3",""
"2020年3月","00000","全国","100.3",""
"2020年4月","00000","全国","100.2",""
"2020年5月","00000","全国","100.1",""
"2020年6月","00000","全国","99.9",""
"2020年7月","00000","全国","100.0",""
"2020年8月","00000","全国","100.1",""
"2020年9月","00000","全国","99.9",""
"2020年10月","00000","全国","99.8",""
"2020年11月","00000","全国","99.5",""
"2020年12月","00000","全国","99.3",""
"2021年1月","00000","全国","99.8",""
"2021年2月","00000","全国","99.8",""
"2021年3月","00000","全国","99.9",""
"2021年4月","00000","全国","99.1",""
"2021年5月","00000","全国","99.4",""
"2021年6月","00000","全国","99.5",""
"2021年7月","00000","全国","99.7",""
"2021年8月","00000","全国","99.7",""
"2021年9月","00000","全国","100.1",""
"2021年10月","00000","全国","99.9",""
"2021年11月","00000","全国","100.1",""
"2021年12月","00000","全国","100.1",""
"2022年1月","00000","全国","100.3",""
"2022年2月","00000","全国","100.7",""
"2022年3月","00000","全国","101.1",""
"2022年4月","00000","全国","101.5",""
"2022年5月","00000","全国","101.8",""
"2022年6月","00000","全国","101.8",""
"2022年7月","00000","全国","102.3",""
"2022年8月","00000","全国","102.7",""
"2022年9月","00000","全国","103.1",""
"2022年10月","00000","全国","103.7",""
"2022年11月","00000","全国","103.9",""
"2022年12月","00000","全国","104.1",""
"2023年1月","00000","全国","104.7",""
"2023年2月","00000","全国","104.0",""
"2023年3月","00000","全国","104.4",""
"2023年4月","00000","全国","105.1",""
"2023年5月","00000","全国","105.1",""
"2023年6月","00000","全国","105.2",""
"2023年7月","00000","全国","105.7",""
"2023年8月","00000","全国","105.9",""
"2023年9月","00000","全国","106.2",""
"2023年10月","00000","全国","107.1",""
"2023年11月","00000","全国","106.9",""
"2023年12月","00000","全国","106.8",""
"2024年1月","00000","全国","106.9",""
"2024年2月","00000","全国","106.9",""
"2024年3月","00000","全国","107.2",""
"2024年4月","00000","全国","107.7",""
"2024年5月","00000","全国","108.1",""
"2024年6月","00000","全国","108.2",""
"2024年7月","00000","全国","108.6",""
"2024年8月","00000","全国","109.1",""
"2024年9月","00000","全国","108.9",""
"2024年10月","00000","全国","109.5",""
"2024年11月","00000","全国","110.0",""
"2024年12月","00000","全国","110.7",""
"2025年1月","00000","全国","111.2",""
"2025年2月","00000","全国","110.8",""
"2025年3月","00000","全国","111.1",""
"2025年4月","00000","全国","111.5",""
"2025年5月","00000","全国","111.8",""
"2025年6月","00000","全国","111.7",""
"2025年7月","00000","全国","111.9",""
"2025年8月","00000","全国","112.1",""
"2025年9月","00000","全国","112.0",""
"2025年10月","00000","全国","112.8",""
"2025年11月","00000","全国","113.2",""
"2025年12月","00000","全国","113.0",""
"2026年1月","00000","全国","112.9",""
"2026年2月","00000","全国","112.2",""
